epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0642,1.32359,3.05977,1.02668,0.00434,0.30387,0.25607,0.22384,1.14236,3.78245,0.83174,0.000365117,0.000365117,0.000365117
2,67.5638,1.02972,1.4974,0.92007,0.71609,0.63684,0.72317,0.49698,1.07204,2.01624,0.82711,0.00072817,0.00072817,0.00072817
3,95.4925,0.97063,1.25752,0.91187,0.8509,0.72764,0.81446,0.54683,1.00595,1.46857,0.82096,0.00108389,0.00108389,0.00108389
4,123.916,0.87465,1.09984,0.89203,0.86266,0.78834,0.83132,0.58429,0.8448,1.10567,0.76366,0.001078,0.001078,0.001078
5,151.535,0.8391,0.9745,0.87853,0.85883,0.82363,0.85178,0.5927,0.90669,0.97174,0.79981,0.001067,0.001067,0.001067
6,178.938,0.77034,0.87242,0.86344,0.89891,0.84338,0.87005,0.619,0.7885,0.93456,0.75921,0.00105601,0.00105601,0.00105601
7,206.71,0.76414,0.81128,0.86489,0.90316,0.82945,0.87622,0.61019,0.77846,0.81654,0.76062,0.00104501,0.00104501,0.00104501
8,234.992,0.71996,0.7405,0.84606,0.92335,0.85845,0.89421,0.62919,0.73616,0.70852,0.73893,0.00103401,0.00103401,0.00103401
9,263.246,0.70993,0.69836,0.85535,0.87422,0.84664,0.88693,0.63621,0.72804,0.70166,0.74604,0.00102301,0.00102301,0.00102301
10,291.005,0.69648,0.65925,0.84807,0.90991,0.87168,0.90099,0.6422,0.72909,0.65585,0.74799,0.00101201,0.00101201,0.00101201
11,318.407,0.65752,0.61242,0.84067,0.91462,0.84106,0.87883,0.64947,0.7069,0.63202,0.73552,0.00100101,0.00100101,0.00100101
12,346.634,0.65305,0.56798,0.83457,0.89835,0.8714,0.88253,0.66434,0.71829,0.61515,0.74126,0.000990012,0.000990012,0.000990012
13,374.712,0.63415,0.55835,0.83318,0.92061,0.89976,0.93475,0.66497,0.75983,0.59261,0.75421,0.000979013,0.000979013,0.000979013
14,402.016,0.6546,0.54492,0.84762,0.90424,0.89842,0.9252,0.65139,0.71068,0.55498,0.74256,0.000968014,0.000968014,0.000968014
15,428.389,0.62286,0.50888,0.83812,0.90722,0.91789,0.92302,0.65905,0.69275,0.52273,0.73639,0.000957015,0.000957015,0.000957015
16,452.531,0.63685,0.51263,0.83225,0.90891,0.88583,0.90723,0.65481,0.6495,0.49958,0.72963,0.000946016,0.000946016,0.000946016
17,476.673,0.63538,0.50236,0.82758,0.95651,0.86932,0.91857,0.64706,0.74802,0.50005,0.75611,0.000935018,0.000935018,0.000935018
