epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1226,1.13495,4.16577,1.05701,0.00085,0.25,0.24875,0.22193,1.63844,8.29107,0.86646,0.000411036,0.000411036,0.000411036
2,111.317,0.75188,1.89955,0.85245,0.89176,0.31959,0.3188,0.26203,1.68279,6.84559,0.83701,0.000819508,0.000819508,0.000819508
3,136.141,0.68708,1.58549,0.84455,0.94654,0.39516,0.42617,0.28265,1.6201,4.92119,0.82038,0.00121973,0.00121973,0.00121973
4,161.047,0.61549,1.27631,0.84166,0.94263,0.40761,0.42315,0.28736,1.50969,4.23913,0.82284,0.00121287,0.00121287,0.00121287
5,185.649,0.5669,1.08328,0.8256,0.96716,0.41304,0.46515,0.3369,1.36646,3.52493,0.79724,0.0012005,0.0012005,0.0012005
6,210.242,0.59101,1.03637,0.83058,0.95382,0.45906,0.47422,0.34114,1.37327,3.23798,0.79769,0.00118812,0.00118812,0.00118812
7,235.037,0.49462,0.81773,0.81234,0.96414,0.43478,0.5392,0.32376,1.4589,2.80895,0.81382,0.00117575,0.00117575,0.00117575
8,263.338,0.54868,0.7746,0.8178,0.66102,0.46739,0.60345,0.35274,1.42056,2.2872,0.80756,0.00116337,0.00116337,0.00116337
9,300.642,0.49444,0.70985,0.80192,0.82318,0.57861,0.67573,0.42429,1.31406,1.86113,0.78272,0.001151,0.001151,0.001151
10,329.083,0.46765,0.67379,0.80023,0.91213,0.53708,0.59642,0.34037,1.6142,1.92829,0.80229,0.00113863,0.00113863,0.00113863
11,354.61,0.46549,0.60409,0.79925,0.66255,0.6412,0.65847,0.38707,1.42573,1.56372,0.79682,0.00112625,0.00112625,0.00112625
12,379.17,0.47345,0.57279,0.7956,0.62651,0.61215,0.6543,0.40097,1.35171,1.43666,0.80093,0.00111388,0.00111388,0.00111388
13,403.67,0.43476,0.5278,0.80337,0.64006,0.60422,0.69155,0.43091,1.18533,1.30411,0.78806,0.0011015,0.0011015,0.0011015
14,428.309,0.445,0.50248,0.7957,0.61582,0.66887,0.70025,0.43272,1.24973,1.23807,0.78246,0.00108913,0.00108913,0.00108913
15,452.955,0.4308,0.48387,0.80356,0.80974,0.67,0.78741,0.44653,1.24215,1.27891,0.79031,0.00107675,0.00107675,0.00107675
16,477.623,0.42455,0.48301,0.81359,0.59634,0.61013,0.6555,0.41494,1.35321,1.16528,0.79753,0.00106437,0.00106437,0.00106437
17,502.176,0.43819,0.50065,0.80118,0.86087,0.65392,0.71456,0.44897,1.10957,1.07051,0.77245,0.001052,0.001052,0.001052
18,526.727,0.42782,0.46036,0.79927,0.7551,0.66026,0.7033,0.47462,1.11176,1.15631,0.76685,0.00103962,0.00103962,0.00103962
19,551.531,0.41473,0.43959,0.80248,0.72125,0.73798,0.73971,0.46426,1.12966,0.92625,0.7718,0.00102725,0.00102725,0.00102725
20,576.129,0.40426,0.41903,0.78772,0.71511,0.69673,0.71403,0.46519,1.15453,0.90786,0.76838,0.00101488,0.00101488,0.00101488
21,600.745,0.41339,0.4032,0.79678,0.64274,0.63898,0.67932,0.41826,1.28032,0.96172,0.78152,0.0010025,0.0010025,0.0010025
22,630.108,0.40952,0.41328,0.79331,0.7188,0.76353,0.74365,0.45703,1.12445,0.87519,0.77221,0.000990125,0.000990125,0.000990125
23,655.796,0.37644,0.37377,0.77761,0.8268,0.71545,0.77863,0.47113,0.99569,0.81418,0.76446,0.00097775,0.00097775,0.00097775
24,680.88,0.39828,0.38148,0.79535,0.86982,0.72496,0.80265,0.48529,1.09017,0.74182,0.77281,0.000965375,0.000965375,0.000965375
25,705.6,0.37842,0.36907,0.79105,0.65111,0.78099,0.7397,0.43598,1.19899,0.88964,0.77064,0.000953,0.000953,0.000953
26,730.042,0.38355,0.35799,0.79911,0.71652,0.7853,0.79251,0.47973,1.05965,0.70927,0.76199,0.000940625,0.000940625,0.000940625
27,754.526,0.37714,0.36264,0.78939,0.85918,0.72942,0.79606,0.51469,0.9936,0.74447,0.75918,0.00092825,0.00092825,0.00092825
28,779.309,0.38879,0.3594,0.78092,0.85464,0.81544,0.82878,0.51988,0.9514,0.70372,0.75649,0.000915875,0.000915875,0.000915875
29,803.963,0.36037,0.35003,0.78503,0.89868,0.76461,0.81734,0.5167,0.98845,0.67342,0.76506,0.0009035,0.0009035,0.0009035
30,828.452,0.37452,0.35364,0.78855,0.71272,0.76986,0.77773,0.50251,1.0453,0.70179,0.76162,0.000891125,0.000891125,0.000891125
31,852.995,0.36003,0.34,0.79509,0.81565,0.817,0.84192,0.51827,0.96641,0.66723,0.76114,0.00087875,0.00087875,0.00087875
32,877.51,0.36274,0.33593,0.80112,0.86118,0.75393,0.85818,0.51982,1.07663,0.78273,0.76782,0.000866375,0.000866375,0.000866375
33,902.06,0.35637,0.338,0.78206,0.78754,0.73391,0.79018,0.47246,1.09387,0.68344,0.76913,0.000854,0.000854,0.000854
34,926.637,0.35847,0.3277,0.79394,0.82685,0.82728,0.86581,0.51639,1.06733,0.68075,0.76054,0.000841625,0.000841625,0.000841625
35,951.244,0.34345,0.30813,0.78887,0.85682,0.80182,0.87715,0.53259,1.02454,0.61112,0.7573,0.00082925,0.00082925,0.00082925
36,977.767,0.35951,0.32664,0.78711,0.70958,0.81478,0.75837,0.50616,0.96068,0.60907,0.75465,0.000816875,0.000816875,0.000816875
37,1004.27,0.34752,0.31863,0.77994,0.70603,0.90755,0.84591,0.5344,0.99979,0.66935,0.75911,0.0008045,0.0008045,0.0008045
38,1029.52,0.34319,0.31794,0.79011,0.8546,0.694,0.81511,0.49144,1.10464,0.76199,0.76823,0.000792125,0.000792125,0.000792125
39,1054.36,0.35564,0.32061,0.78674,0.88646,0.78073,0.84261,0.52405,0.97463,0.68459,0.75948,0.00077975,0.00077975,0.00077975
40,1079.1,0.34728,0.31035,0.7825,0.81537,0.7391,0.82931,0.52529,0.9924,0.70301,0.76497,0.000767375,0.000767375,0.000767375
41,1103.66,0.3431,0.30641,0.7871,0.94138,0.75277,0.85847,0.5444,0.97038,0.65069,0.76137,0.000755,0.000755,0.000755
42,1128.43,0.31768,0.29697,0.78151,0.85012,0.76516,0.86085,0.54252,0.97569,0.59495,0.76333,0.000742625,0.000742625,0.000742625
43,1153.31,0.33794,0.29426,0.77984,0.80876,0.7423,0.80368,0.51535,0.92199,0.61148,0.75842,0.00073025,0.00073025,0.00073025
44,1177.91,0.3431,0.29199,0.79187,0.84064,0.85442,0.87947,0.52446,1.03571,0.65632,0.76141,0.000717875,0.000717875,0.000717875
45,1205.5,0.33722,0.29392,0.78392,0.83554,0.84302,0.88178,0.52221,1.0939,0.738,0.77375,0.0007055,0.0007055,0.0007055
46,1231.44,0.31857,0.29455,0.77956,0.84528,0.83987,0.88802,0.54659,0.99082,0.60888,0.7596,0.000693125,0.000693125,0.000693125
47,1256.24,0.3131,0.28768,0.77752,0.81771,0.71803,0.81261,0.52893,0.96056,0.63275,0.75203,0.00068075,0.00068075,0.00068075
48,1280.82,0.33109,0.29164,0.78511,0.87038,0.74241,0.83009,0.541,0.94748,0.5831,0.75681,0.000668375,0.000668375,0.000668375
49,1310.15,0.30924,0.27588,0.78696,0.75661,0.82543,0.8582,0.52963,0.9556,0.60705,0.75216,0.000656,0.000656,0.000656
50,1357.96,0.33743,0.30227,0.7843,0.90977,0.77901,0.87283,0.53421,1.02462,0.61896,0.76075,0.000643625,0.000643625,0.000643625
51,1384.22,0.34443,0.30573,0.79907,0.7785,0.82065,0.87291,0.53527,0.963,0.55619,0.75196,0.00063125,0.00063125,0.00063125
52,1408.95,0.30353,0.27117,0.78127,0.85812,0.76203,0.84399,0.5195,1.04617,0.67097,0.75938,0.000618875,0.000618875,0.000618875
53,1433.6,0.34654,0.28694,0.78755,0.8859,0.74556,0.88297,0.56177,0.93803,0.57358,0.75112,0.0006065,0.0006065,0.0006065
54,1458.48,0.32028,0.28563,0.76857,0.83545,0.90683,0.90397,0.53572,0.91326,0.57214,0.75543,0.000594125,0.000594125,0.000594125
55,1483.06,0.30566,0.26749,0.77968,0.79568,0.86992,0.89088,0.56889,0.88837,0.55003,0.74912,0.00058175,0.00058175,0.00058175
56,1507.73,0.29699,0.264,0.77745,0.73334,0.76488,0.84568,0.5529,0.93508,0.58934,0.75346,0.000569375,0.000569375,0.000569375
57,1532.31,0.29307,0.25225,0.77105,0.74706,0.86748,0.8531,0.53884,1.01115,0.63907,0.75952,0.000557,0.000557,0.000557
58,1556.82,0.31313,0.26787,0.77811,0.87628,0.82072,0.90304,0.58284,0.83955,0.58468,0.75108,0.000544625,0.000544625,0.000544625
59,1581.64,0.29888,0.27127,0.78213,0.79604,0.80416,0.88096,0.57666,0.89144,0.59483,0.75347,0.00053225,0.00053225,0.00053225
60,1606.38,0.30998,0.26128,0.77882,0.8845,0.83673,0.92949,0.60553,0.88664,0.57516,0.75515,0.000519875,0.000519875,0.000519875
61,1631,0.29789,0.25954,0.77861,0.88498,0.83329,0.90314,0.59524,0.90352,0.59302,0.75386,0.0005075,0.0005075,0.0005075
62,1668.88,0.2928,0.24974,0.77501,0.84117,0.79231,0.90192,0.58685,0.89538,0.58192,0.75514,0.000495125,0.000495125,0.000495125
63,1716.32,0.28768,0.24981,0.77661,0.77103,0.87558,0.86496,0.56021,0.90377,0.58463,0.75097,0.00048275,0.00048275,0.00048275
64,1741.08,0.29059,0.24635,0.77946,0.79728,0.87352,0.89375,0.55643,0.97532,0.55546,0.75916,0.000470375,0.000470375,0.000470375
65,1765.75,0.29585,0.24575,0.78976,0.75079,0.84084,0.8176,0.55263,0.89721,0.54504,0.75278,0.000458,0.000458,0.000458
66,1790.18,0.30106,0.2525,0.77785,0.88149,0.83849,0.88522,0.57519,0.92312,0.51885,0.75531,0.000445625,0.000445625,0.000445625
67,1814.67,0.28555,0.25613,0.77632,0.8474,0.86568,0.88806,0.5653,0.89042,0.53132,0.74977,0.00043325,0.00043325,0.00043325
68,1839.34,0.26886,0.23628,0.77784,0.78472,0.90502,0.85448,0.53438,0.86207,0.53276,0.75297,0.000420875,0.000420875,0.000420875
69,1863.91,0.28837,0.25019,0.78496,0.76951,0.88912,0.87083,0.56064,0.93211,0.55724,0.75253,0.0004085,0.0004085,0.0004085
70,1888.46,0.26269,0.23677,0.7727,0.93409,0.8228,0.89204,0.56014,0.89648,0.53664,0.75207,0.000396125,0.000396125,0.000396125
71,1912.95,0.28164,0.24265,0.78294,0.94001,0.7876,0.90723,0.57006,0.8835,0.52564,0.7521,0.00038375,0.00038375,0.00038375
72,1937.4,0.27677,0.2368,0.77457,0.83556,0.85928,0.88708,0.58505,0.89162,0.57947,0.75377,0.000371375,0.000371375,0.000371375
73,1961.94,0.28088,0.24308,0.78771,0.78436,0.86568,0.87882,0.59169,0.90477,0.52843,0.7545,0.000359,0.000359,0.000359
74,1986.61,0.2656,0.23435,0.76786,0.9107,0.8245,0.92425,0.59729,0.92945,0.53642,0.7543,0.000346625,0.000346625,0.000346625
75,2014.09,0.2681,0.22801,0.76763,0.83361,0.86142,0.89329,0.58545,0.8771,0.53428,0.75169,0.00033425,0.00033425,0.00033425
76,2041.25,0.26818,0.22635,0.78233,0.8942,0.76209,0.86918,0.56399,0.8739,0.53141,0.75258,0.000321875,0.000321875,0.000321875
77,2065.82,0.25622,0.22044,0.78456,0.86178,0.85632,0.91091,0.56967,0.94166,0.54363,0.75546,0.0003095,0.0003095,0.0003095
78,2090.33,0.26328,0.22541,0.77629,0.84178,0.83828,0.89149,0.58267,0.87639,0.5264,0.75222,0.000297125,0.000297125,0.000297125
79,2114.78,0.25687,0.22558,0.77969,0.78351,0.77088,0.81628,0.56319,0.86483,0.53137,0.74799,0.00028475,0.00028475,0.00028475
80,2139.18,0.24776,0.21722,0.77101,0.90904,0.71859,0.84089,0.54995,0.87598,0.52778,0.75135,0.000272375,0.000272375,0.000272375
81,2163.75,0.27157,0.2274,0.78007,0.89243,0.8145,0.89468,0.56065,0.88656,0.53889,0.75082,0.00026,0.00026,0.00026
82,2188.23,0.24571,0.21454,0.76698,0.86495,0.81599,0.87374,0.57546,0.88863,0.52592,0.75735,0.000247625,0.000247625,0.000247625
83,2212.67,0.27365,0.22564,0.77185,0.87402,0.88475,0.91403,0.6167,0.83555,0.49984,0.75195,0.00023525,0.00023525,0.00023525
84,2237.53,0.24053,0.21482,0.78157,0.87684,0.87194,0.90883,0.60903,0.86383,0.52022,0.75219,0.000222875,0.000222875,0.000222875
85,2261.9,0.26479,0.2244,0.76864,0.84496,0.85634,0.89617,0.59042,0.79946,0.48144,0.74743,0.0002105,0.0002105,0.0002105
86,2286.3,0.24893,0.21856,0.76797,0.87902,0.88196,0.89445,0.58557,0.8128,0.53622,0.74733,0.000198125,0.000198125,0.000198125
87,2310.73,0.24593,0.21332,0.77461,0.87941,0.84803,0.90749,0.60502,0.81156,0.51679,0.74953,0.00018575,0.00018575,0.00018575
88,2335.14,0.24514,0.20733,0.78939,0.8918,0.83443,0.90045,0.5987,0.78096,0.47524,0.74715,0.000173375,0.000173375,0.000173375
89,2360.8,0.24013,0.20458,0.78243,0.89963,0.81132,0.90862,0.60952,0.79307,0.48052,0.74422,0.000161,0.000161,0.000161
90,2410.78,0.25144,0.21231,0.77293,0.8573,0.85393,0.89959,0.60451,0.83012,0.49684,0.74649,0.000148625,0.000148625,0.000148625
91,2443.12,0.26287,0.20476,0.77376,0.94772,0.76771,0.89405,0.60285,0.82813,0.47468,0.74706,0.00013625,0.00013625,0.00013625
