epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9527,1.42409,4.59926,1.13315,0.00156,0.2381,0.17863,0.12157,1.40941,4.50105,0.91717,0.000411036,0.000411036,0.000411036
2,54.261,0.98993,2.26503,0.91149,0.8022,0.31652,0.30493,0.2169,1.0175,2.26588,0.8799,0.000819508,0.000819508,0.000819508
3,78.6636,0.85231,1.85936,0.89036,0.93818,0.33705,0.40522,0.28079,0.91484,2.00721,0.87442,0.00121973,0.00121973,0.00121973
4,103.111,0.79006,1.62121,0.87877,0.8999,0.36021,0.39292,0.27823,0.80322,1.46138,0.88059,0.00121287,0.00121287,0.00121287
5,127.421,0.72734,1.30115,0.86352,0.91717,0.42822,0.45905,0.30753,0.73699,1.28347,0.86569,0.0012005,0.0012005,0.0012005
6,151.771,0.73498,1.19881,0.86765,0.90688,0.39674,0.43818,0.29495,0.74936,0.97146,0.86428,0.00118812,0.00118812,0.00118812
7,176.075,0.64083,1.0885,0.84031,0.95458,0.41506,0.56002,0.32843,0.69785,1.04565,0.8477,0.00117575,0.00117575,0.00117575
8,200.414,0.65578,0.92628,0.84033,0.95345,0.41304,0.56039,0.34374,0.66494,0.87444,0.85651,0.00116337,0.00116337,0.00116337
9,224.771,0.62752,0.89219,0.83388,0.88274,0.43478,0.52461,0.32502,0.68157,0.81356,0.84734,0.001151,0.001151,0.001151
10,249.071,0.59379,0.78334,0.83069,0.96676,0.39674,0.51513,0.34645,0.62201,0.70841,0.8424,0.00113863,0.00113863,0.00113863
11,273.342,0.59122,0.75404,0.83266,0.53939,0.55067,0.57354,0.35209,0.71863,0.68746,0.88273,0.00112625,0.00112625,0.00112625
12,297.685,0.6222,0.76792,0.84076,0.79124,0.44837,0.54192,0.35071,0.60651,0.72321,0.86736,0.00111388,0.00111388,0.00111388
13,321.962,0.55836,0.65506,0.82801,0.89145,0.54686,0.63257,0.37946,0.59417,0.60706,0.85631,0.0011015,0.0011015,0.0011015
14,346.352,0.58587,0.68435,0.82573,0.6893,0.4769,0.52127,0.33883,0.59159,0.60452,0.85972,0.00108913,0.00108913,0.00108913
15,370.656,0.56242,0.61956,0.82747,0.74491,0.63768,0.68087,0.40627,0.56891,0.55495,0.84517,0.00107675,0.00107675,0.00107675
16,394.997,0.54514,0.61824,0.83152,0.6664,0.53217,0.70921,0.42031,0.64575,0.60574,0.84204,0.00106437,0.00106437,0.00106437
17,419.399,0.53079,0.56459,0.81601,0.61056,0.56968,0.63233,0.39574,0.51663,0.5102,0.83295,0.001052,0.001052,0.001052
18,443.685,0.52378,0.52297,0.82439,0.6824,0.63751,0.67855,0.43336,0.4883,0.47716,0.82607,0.00103962,0.00103962,0.00103962
19,468.055,0.52914,0.54242,0.81877,0.63878,0.71234,0.6536,0.40249,0.52982,0.47786,0.82709,0.00102725,0.00102725,0.00102725
20,492.317,0.49792,0.51058,0.81038,0.59217,0.57877,0.67455,0.43262,0.50764,0.46371,0.84658,0.00101488,0.00101488,0.00101488
21,516.546,0.50977,0.50889,0.80889,0.6731,0.67825,0.73363,0.44908,0.5001,0.43786,0.84974,0.0010025,0.0010025,0.0010025
22,540.906,0.48374,0.48086,0.80936,0.59422,0.7729,0.63465,0.42124,0.50929,0.45145,0.85112,0.000990125,0.000990125,0.000990125
23,565.258,0.47655,0.4558,0.80367,0.6652,0.63869,0.7054,0.42562,0.52395,0.42067,0.84504,0.00097775,0.00097775,0.00097775
24,589.519,0.4988,0.46786,0.8123,0.58352,0.68274,0.64897,0.41352,0.5586,0.46316,0.85224,0.000965375,0.000965375,0.000965375
25,613.761,0.46384,0.46489,0.80577,0.62808,0.73576,0.69549,0.39262,0.55797,0.48471,0.85099,0.000953,0.000953,0.000953
26,638.075,0.47691,0.46619,0.81442,0.68914,0.6246,0.74741,0.45656,0.473,0.44322,0.84139,0.000940625,0.000940625,0.000940625
27,662.56,0.47181,0.4514,0.81289,0.66325,0.89878,0.76676,0.45046,0.50072,0.41241,0.84504,0.00092825,0.00092825,0.00092825
28,686.782,0.48494,0.45082,0.79791,0.67594,0.71234,0.72188,0.43329,0.47535,0.38018,0.84139,0.000915875,0.000915875,0.000915875
29,711.08,0.45293,0.42295,0.79671,0.69763,0.66828,0.72448,0.45618,0.47811,0.37968,0.84305,0.0009035,0.0009035,0.0009035
30,735.335,0.43653,0.40875,0.79673,0.8291,0.69241,0.75357,0.45216,0.51624,0.37445,0.84383,0.000891125,0.000891125,0.000891125
31,759.658,0.43036,0.41795,0.80731,0.82855,0.73217,0.76881,0.48137,0.41214,0.3581,0.83822,0.00087875,0.00087875,0.00087875
32,784.034,0.45112,0.4045,0.80818,0.89899,0.75799,0.84541,0.5115,0.46047,0.38109,0.83713,0.000866375,0.000866375,0.000866375
33,808.462,0.4374,0.41217,0.79725,0.77471,0.63452,0.70897,0.4383,0.48253,0.36713,0.84157,0.000854,0.000854,0.000854
34,832.825,0.44961,0.4218,0.81029,0.69284,0.70594,0.72607,0.46302,0.49528,0.37122,0.84301,0.000841625,0.000841625,0.000841625
35,857.145,0.42815,0.39368,0.8056,0.64088,0.65839,0.67548,0.45621,0.46923,0.38008,0.83701,0.00082925,0.00082925,0.00082925
36,881.443,0.44625,0.40573,0.80027,0.60785,0.67813,0.68687,0.44508,0.45664,0.33745,0.83396,0.000816875,0.000816875,0.000816875
37,905.736,0.44399,0.4005,0.79522,0.73805,0.75389,0.75799,0.47757,0.44129,0.3535,0.83894,0.0008045,0.0008045,0.0008045
38,930.008,0.42649,0.40084,0.79372,0.70063,0.72148,0.80967,0.48123,0.4837,0.39134,0.83824,0.000792125,0.000792125,0.000792125
39,954.356,0.42963,0.38397,0.80191,0.79575,0.74869,0.80235,0.49274,0.42981,0.3125,0.83549,0.00077975,0.00077975,0.00077975
40,978.61,0.43101,0.39123,0.79254,0.74954,0.79231,0.78512,0.48028,0.42195,0.33175,0.83554,0.000767375,0.000767375,0.000767375
41,1002.87,0.41532,0.36532,0.80085,0.76432,0.75144,0.79255,0.48361,0.4366,0.34798,0.83406,0.000755,0.000755,0.000755
42,1027.17,0.41341,0.39202,0.79609,0.8171,0.73836,0.80719,0.5008,0.4103,0.34163,0.8344,0.000742625,0.000742625,0.000742625
43,1051.52,0.42834,0.38338,0.79629,0.69898,0.75252,0.73711,0.46308,0.45893,0.32054,0.8397,0.00073025,0.00073025,0.00073025
44,1075.81,0.40443,0.37051,0.79056,0.75336,0.76406,0.78739,0.47341,0.4656,0.33521,0.84086,0.000717875,0.000717875,0.000717875
45,1100.06,0.39264,0.34142,0.79795,0.73311,0.66549,0.71309,0.45507,0.43414,0.32937,0.83698,0.0007055,0.0007055,0.0007055
46,1124.31,0.36701,0.34614,0.79064,0.81407,0.60093,0.68626,0.4867,0.42336,0.33729,0.82601,0.000693125,0.000693125,0.000693125
47,1148.62,0.40342,0.34918,0.79258,0.77255,0.71779,0.73401,0.48347,0.42315,0.32184,0.82298,0.00068075,0.00068075,0.00068075
48,1172.89,0.41043,0.36882,0.80464,0.7054,0.75796,0.79369,0.47654,0.40813,0.33134,0.83031,0.000668375,0.000668375,0.000668375
49,1197.14,0.37293,0.33129,0.79496,0.87541,0.6482,0.78048,0.47265,0.44657,0.33089,0.83544,0.000656,0.000656,0.000656
50,1221.43,0.42651,0.37662,0.80775,0.84822,0.71872,0.85099,0.51113,0.40161,0.31401,0.83284,0.000643625,0.000643625,0.000643625
51,1245.77,0.39952,0.362,0.80436,0.81209,0.67869,0.82925,0.50754,0.41535,0.29101,0.82856,0.00063125,0.00063125,0.00063125
52,1270.12,0.37211,0.32824,0.79093,0.81522,0.7388,0.81112,0.50125,0.40917,0.32845,0.83177,0.000618875,0.000618875,0.000618875
53,1294.42,0.38997,0.33089,0.79836,0.7428,0.72133,0.75347,0.48728,0.41332,0.3007,0.83422,0.0006065,0.0006065,0.0006065
54,1318.72,0.38758,0.33889,0.78174,0.83432,0.86356,0.86299,0.52746,0.43492,0.30788,0.83688,0.000594125,0.000594125,0.000594125
55,1343.1,0.37078,0.31848,0.78543,0.76605,0.7403,0.78066,0.52991,0.40208,0.30985,0.82605,0.00058175,0.00058175,0.00058175
56,1367.41,0.35005,0.30699,0.78488,0.82059,0.68844,0.81741,0.54485,0.40592,0.30402,0.82816,0.000569375,0.000569375,0.000569375
57,1391.77,0.34886,0.29986,0.78551,0.66138,0.80244,0.73144,0.50158,0.39359,0.28966,0.8339,0.000557,0.000557,0.000557
58,1416.01,0.37717,0.30876,0.79218,0.72168,0.73962,0.77317,0.5195,0.40383,0.30585,0.82984,0.000544625,0.000544625,0.000544625
59,1440.31,0.35392,0.31794,0.77876,0.73775,0.81196,0.83007,0.5423,0.38627,0.29403,0.82863,0.00053225,0.00053225,0.00053225
60,1464.65,0.38391,0.31335,0.79194,0.78499,0.81813,0.85941,0.56527,0.38279,0.28659,0.82926,0.000519875,0.000519875,0.000519875
61,1489,0.34814,0.29548,0.78586,0.79216,0.82362,0.849,0.53779,0.39175,0.27215,0.83098,0.0005075,0.0005075,0.0005075
62,1513.26,0.35431,0.31387,0.78786,0.7719,0.83987,0.84556,0.51362,0.39855,0.28872,0.82826,0.000495125,0.000495125,0.000495125
63,1537.56,0.34634,0.29203,0.78307,0.71977,0.81741,0.767,0.52459,0.37875,0.25819,0.82767,0.00048275,0.00048275,0.00048275
64,1561.97,0.36208,0.30329,0.79609,0.82623,0.88305,0.83896,0.52859,0.38671,0.27507,0.82667,0.000470375,0.000470375,0.000470375
65,1586.28,0.36364,0.30011,0.79251,0.67466,0.75712,0.73745,0.48114,0.35255,0.25477,0.82554,0.000458,0.000458,0.000458
66,1610.52,0.36107,0.3011,0.78765,0.80146,0.86374,0.81648,0.5024,0.39547,0.26915,0.82945,0.000445625,0.000445625,0.000445625
67,1634.78,0.34943,0.30521,0.79404,0.80143,0.64377,0.69067,0.4843,0.40477,0.27347,0.83001,0.00043325,0.00043325,0.00043325
68,1659.12,0.32912,0.2867,0.77991,0.71258,0.74612,0.73638,0.49701,0.3659,0.27245,0.82605,0.000420875,0.000420875,0.000420875
69,1683.4,0.35142,0.29716,0.78473,0.8151,0.7803,0.84505,0.52061,0.3576,0.24991,0.82747,0.0004085,0.0004085,0.0004085
70,1707.66,0.34353,0.30771,0.78133,0.71302,0.83073,0.79673,0.50518,0.37693,0.28438,0.82692,0.000396125,0.000396125,0.000396125
71,1731.93,0.34711,0.30114,0.78699,0.84385,0.80079,0.85356,0.56064,0.38214,0.28427,0.8313,0.00038375,0.00038375,0.00038375
72,1756.2,0.33144,0.2899,0.79004,0.74813,0.81784,0.81646,0.53153,0.37327,0.26203,0.82895,0.000371375,0.000371375,0.000371375
73,1780.55,0.33361,0.28751,0.78977,0.79183,0.79678,0.82501,0.52373,0.3779,0.27258,0.8268,0.000359,0.000359,0.000359
74,1804.81,0.33253,0.27852,0.77747,0.80287,0.81926,0.84894,0.54198,0.38287,0.26304,0.82698,0.000346625,0.000346625,0.000346625
75,1829.1,0.31738,0.27154,0.77806,0.8206,0.84334,0.88601,0.55648,0.36936,0.24848,0.82895,0.00033425,0.00033425,0.00033425
76,1853.37,0.31625,0.26514,0.78634,0.9606,0.82947,0.90688,0.56501,0.36602,0.24039,0.83153,0.000321875,0.000321875,0.000321875
77,1877.76,0.32494,0.27365,0.79213,0.94629,0.81026,0.90607,0.57492,0.36992,0.25526,0.82841,0.0003095,0.0003095,0.0003095
78,1902.14,0.31336,0.2692,0.78623,0.80389,0.82537,0.85324,0.55452,0.3768,0.25067,0.82481,0.000297125,0.000297125,0.000297125
79,1926.41,0.32279,0.28089,0.78719,0.74456,0.79134,0.83177,0.53617,0.36156,0.24938,0.82322,0.00028475,0.00028475,0.00028475
80,1950.69,0.30461,0.26618,0.78818,0.75033,0.84159,0.82613,0.52831,0.35123,0.23992,0.82242,0.000272375,0.000272375,0.000272375
81,1975.03,0.31631,0.26478,0.7901,0.77636,0.86265,0.83662,0.54421,0.37585,0.24646,0.8248,0.00026,0.00026,0.00026
82,1999.27,0.31337,0.26557,0.78148,0.77773,0.87558,0.82226,0.55147,0.33795,0.2355,0.8236,0.000247625,0.000247625,0.000247625
83,2023.55,0.31591,0.26496,0.77639,0.78794,0.87112,0.89179,0.56773,0.38372,0.23901,0.82443,0.00023525,0.00023525,0.00023525
84,2047.84,0.30047,0.254,0.78518,0.86403,0.81662,0.90773,0.56673,0.35739,0.23322,0.82387,0.000222875,0.000222875,0.000222875
85,2072.17,0.30787,0.25466,0.78226,0.7664,0.89546,0.8787,0.56589,0.34524,0.23421,0.82278,0.0002105,0.0002105,0.0002105
86,2096.46,0.30808,0.26435,0.77714,0.84434,0.82319,0.89385,0.55027,0.33941,0.23911,0.82352,0.000198125,0.000198125,0.000198125
87,2120.73,0.30889,0.25605,0.77746,0.89355,0.77102,0.87598,0.55757,0.35898,0.25599,0.82926,0.00018575,0.00018575,0.00018575
88,2145.02,0.30128,0.25062,0.78958,0.82693,0.80302,0.86045,0.56875,0.36377,0.26238,0.82853,0.000173375,0.000173375,0.000173375
89,2169.36,0.30471,0.25301,0.78398,0.77875,0.86053,0.87341,0.55564,0.34566,0.24524,0.82625,0.000161,0.000161,0.000161
90,2193.64,0.30336,0.25537,0.77946,0.7687,0.90028,0.88213,0.56015,0.35127,0.24279,0.82539,0.000148625,0.000148625,0.000148625
91,2218.66,0.29611,0.24379,0.76552,0.81165,0.81192,0.84682,0.55405,0.34547,0.24729,0.82307,0.00013625,0.00013625,0.00013625
92,2242.94,0.29692,0.23589,0.76022,0.8102,0.82449,0.86413,0.55396,0.36831,0.23671,0.82416,0.000123875,0.000123875,0.000123875
93,2267.16,0.29245,0.2439,0.76713,0.81745,0.81749,0.85935,0.55102,0.34091,0.2279,0.82372,0.0001115,0.0001115,0.0001115
94,2291.4,0.2829,0.23595,0.77729,0.7592,0.92217,0.88018,0.556,0.34464,0.23543,0.82552,9.9125e-05,9.9125e-05,9.9125e-05
95,2315.63,0.28444,0.23546,0.76406,0.7889,0.91103,0.88588,0.57607,0.3522,0.23447,0.82552,8.675e-05,8.675e-05,8.675e-05
96,2339.89,0.28153,0.2317,0.77324,0.79816,0.94798,0.91725,0.56329,0.34613,0.23626,0.82478,7.4375e-05,7.4375e-05,7.4375e-05
97,2364.18,0.28084,0.22333,0.76869,0.8127,0.94798,0.92554,0.57995,0.32631,0.22552,0.82522,6.2e-05,6.2e-05,6.2e-05
98,2388.53,0.275,0.22101,0.76192,0.79607,0.94798,0.91509,0.57463,0.32688,0.22704,0.82373,4.9625e-05,4.9625e-05,4.9625e-05
99,2412.76,0.27042,0.22114,0.75737,0.80718,0.92289,0.92493,0.58258,0.33334,0.2289,0.82378,3.725e-05,3.725e-05,3.725e-05
100,2437.22,0.27132,0.22182,0.77063,0.81151,0.9487,0.92332,0.5961,0.32491,0.22859,0.8238,2.4875e-05,2.4875e-05,2.4875e-05
